SALES,ORDERDATE,STATUS,PRODUCTLINE,COUNTRY,DEALSIZE
4140.23,5/1/2005 0:00,Shipped,Classic Cars,Canada,Medium
12001.0,5/31/2005 0:00,In Process,Classic Cars,Spain,Large
3896.49,2/24/2003 0:00,Shipped,Motorcycles,USA,Medium
2793.86,4/29/2003 0:00,Shipped,Motorcycles,Australia,Small
3307.77,7/1/2003 0:00,Shipped,Motorcycles,France,Medium
5192.95,8/25/2003 0:00,Shipped,Motorcycles,USA,Medium
5016.83,10/10/2003 0:00,Shipped,Motorcycles,USA,Medium
3660.93,10/28/2003 0:00,Shipped,Motorcycles,USA,Medium
4695.6,11/11/2003 0:00,Shipped,Motorcycles,France,Medium
3660.92,11/18/2003 0:00,Shipped,Motorcycles,Norway,Medium
3025.92,12/1/2003 0:00,Shipped,Motorcycles,USA,Medium
3009.09,1/12/2004 0:00,Shipped,Motorcycles,Japan,Medium
5422.39,2/20/2004 0:00,Shipped,Motorcycles,Australia,Medium
2852.08,4/3/2004 0:00,Shipped,Motorcycles,USA,Small
5756.52,5/18/2004 0:00,Shipped,Motorcycles,USA,Medium
4472.0,6/28/2004 0:00,Shipped,Motorcycles,USA,Medium
2904.44,7/23/2004 0:00,Shipped,Motorcycles,France,Small
6484.59,8/27/2004 0:00,Shipped,Motorcycles,USA,Medium
3757.26,9/27/2004 0:00,Shipped,Motorcycles,France,Medium
4043.96,10/15/2004 0:00,Shipped,Motorcycles,USA,Medium
5566.5,11/2/2004 0:00,Shipped,Motorcycles,USA,Medium
3176.0,11/15/2004 0:00,Shipped,Motorcycles,USA,Medium
2756.8,11/23/2004 0:00,Shipped,Motorcycles,Japan,Small
1329.9,12/17/2004 0:00,Shipped,Motorcycles,Australia,Small
5288.01,2/2/2005 0:00,Shipped,Motorcycles,Australia,Medium
2225.5,3/3/2005 0:00,Shipped,Motorcycles,USA,Small
5833.8,4/7/2005 0:00,Shipped,Motorcycles,France,Medium
5887.35,5/13/2005 0:00,Disputed,Motorcycles,Spain,Medium
6065.55,2/24/2003 0:00,Shipped,Motorcycles,USA,Medium
9264.86,4/29/2003 0:00,Shipped,Motorcycles,Australia,Large
7023.98,7/1/2003 0:00,Shipped,Motorcycles,France,Large
5176.38,8/25/2003 0:00,Shipped,Motorcycles,USA,Medium
4132.7,10/10/2003 0:00,Shipped,Motorcycles,USA,Medium
4183.0,10/28/2003 0:00,Shipped,Motorcycles,USA,Medium
8892.9,11/11/2003 0:00,Shipped,Motorcycles,France,Large
8714.7,11/18/2003 0:00,Shipped,Motorcycles,Norway,Large
8065.89,12/1/2003 0:00,Shipped,Motorcycles,USA,Large
6123.4,1/12/2004 0:00,Shipped,Motorcycles,Japan,Medium
9774.03,2/20/2004 0:00,Shipped,Motorcycles,Australia,Large
7023.9,4/5/2004 0:00,Shipped,Motorcycles,USA,Large
7078.23,5/18/2004 0:00,Shipped,Motorcycles,USA,Large
8336.94,6/28/2004 0:00,Shipped,Motorcycles,USA,Large
6901.92,7/23/2004 0:00,Shipped,Motorcycles,France,Medium
5438.07,8/27/2004 0:00,Shipped,Motorcycles,USA,Medium
6683.34,9/30/2004 0:00,Shipped,Motorcycles,Finland,Medium
4570.4,10/15/2004 0:00,Shipped,Motorcycles,USA,Medium
7667.14,11/2/2004 0:00,Shipped,Motorcycles,USA,Large
5868.2,11/15/2004 0:00,Shipped,Motorcycles,USA,Medium
2990.13,11/23/2004 0:00,Shipped,Motorcycles,Japan,Small
3664.1,1/5/2005 0:00,Shipped,Motorcycles,USA,Medium
3834.38,2/2/2005 0:00,Shipped,Motorcycles,Australia,Medium
1822.17,3/3/2005 0:00,Shipped,Motorcycles,USA,Small
11886.6,4/8/2005 0:00,Shipped,Motorcycles,UK,Large
9218.16,5/13/2005 0:00,Disputed,Motorcycles,Spain,Large
7208.0,2/11/2003 0:00,Shipped,Classic Cars,Denmark,Large
5004.8,4/28/2003 0:00,Shipped,Classic Cars,Austria,Medium
4398.24,6/12/2003 0:00,Shipped,Classic Cars,UK,Medium
5597.76,8/10/2003 0:00,Shipped,Classic Cars,USA,Medium
4526.08,10/6/2003 0:00,Shipped,Classic Cars,Finland,Medium
5924.16,10/23/2003 0:00,Cancelled,Classic Cars,Sweden,Medium
3492.48,11/8/2003 0:00,Shipped,Classic Cars,France,Medium
3854.24,11/14/2003 0:00,Shipped,Classic Cars,UK,Medium
5324.4,11/26/2003 0:00,Shipped,Classic Cars,Spain,Medium
5197.92,1/9/2004 0:00,Shipped,Classic Cars,USA,Medium
5997.6,2/19/2004 0:00,Shipped,Classic Cars,USA,Medium
2910.4,5/7/2004 0:00,Cancelled,Classic Cars,USA,Small
3378.24,6/17/2004 0:00,Shipped,Classic Cars,Canada,Medium
3508.8,7/21/2004 0:00,Shipped,Classic Cars,Belgium,Medium
2992.0,8/20/2004 0:00,Shipped,Classic Cars,Canada,Small
3427.2,9/10/2004 0:00,Shipped,Classic Cars,USA,Medium
2692.8,10/14/2004 0:00,Shipped,Classic Cars,USA,Small
4128.96,11/1/2004 0:00,Shipped,Classic Cars,UK,Medium
3051.71,11/5/2004 0:00,Shipped,Classic Cars,Norway,Medium
1201.25,11/21/2004 0:00,Shipped,Classic Cars,USA,Small
1962.22,12/2/2004 0:00,Shipped,Classic Cars,Spain,Small
2624.64,12/15/2004 0:00,Shipped,Classic Cars,France,Small
4046.25,1/31/2005 0:00,Shipped,Classic Cars,Finland,Medium
4846.7,2/23/2005 0:00,Shipped,Classic Cars,USA,Medium
3370.56,3/17/2005 0:00,Shipped,Classic Cars,France,Medium
9661.44,4/1/2005 0:00,Shipped,Classic Cars,USA,Large
2764.88,5/6/2005 0:00,On Hold,Classic Cars,USA,Small
5398.26,1/29/2003 0:00,Shipped,Classic Cars,Norway,Medium
4305.28,4/1/2003 0:00,Shipped,Classic Cars,France,Medium
3347.74,5/28/2003 0:00,Shipped,Classic Cars,Spain,Medium
3188.12,7/24/2003 0:00,Shipped,Classic Cars,USA,Medium
3191.2,9/19/2003 0:00,Shipped,Classic Cars,Singapore,Medium
3536.82,10/21/2003 0:00,Resolved,Classic Cars,Austria,Medium
5362.83,11/6/2003 0:00,Shipped,Classic Cars,UK,Medium
3433.36,11/13/2003 0:00,Shipped,Classic Cars,USA,Medium
4263.74,11/25/2003 0:00,Shipped,Classic Cars,France,Medium
4076.19,12/9/2003 0:00,Shipped,Classic Cars,USA,Medium
7020.48,2/4/2004 0:00,Shipped,Classic Cars,Singapore,Large
6426.5,3/11/2004 0:00,Shipped,Classic Cars,USA,Medium
4591.72,5/4/2004 0:00,Shipped,Classic Cars,USA,Medium
4033.38,6/15/2004 0:00,Shipped,Classic Cars,Singapore,Medium
4302.08,7/19/2004 0:00,Shipped,Classic Cars,Australia,Medium
7020.64,8/19/2004 0:00,Shipped,Classic Cars,USA,Large
3855.9,9/8/2004 0:00,Shipped,Classic Cars,Sweden,Medium
6680.78,10/13/2004 0:00,Shipped,Classic Cars,USA,Medium
6678.0,10/22/2004 0:00,Shipped,Classic Cars,Canada,Medium
2851.54,11/4/2004 0:00,Shipped,Classic Cars,USA,Small
3188.12,11/19/2004 0:00,On Hold,Classic Cars,Sweden,Medium
4428.0,11/29/2004 0:00,Shipped,Classic Cars,Australia,Medium
5780.92,12/10/2004 0:00,Shipped,Classic Cars,USA,Medium
2297.05,1/20/2005 0:00,Shipped,Classic Cars,Australia,Small
6231.54,2/17/2005 0:00,Shipped,Classic Cars,USA,Medium
1735.3,3/9/2005 0:00,Shipped,Classic Cars,Australia,Small
4427.73,5/1/2005 0:00,Shipped,Classic Cars,Canada,Medium
5894.94,5/31/2005 0:00,In Process,Classic Cars,France,Medium
5265.15,3/3/2003 0:00,Shipped,Classic Cars,Philippines,Medium
7599.9,5/8/2003 0:00,Shipped,Classic Cars,France,Large
8008.56,7/2/2003 0:00,Shipped,Classic Cars,USA,Large
9245.76,9/5/2003 0:00,Shipped,Classic Cars,USA,Large
8296.35,10/10/2003 0:00,Shipped,Classic Cars,USA,Large
5019.9,11/4/2003 0:00,Shipped,Classic Cars,Australia,Medium
5411.07,11/12/2003 0:00,Shipped,Classic Cars,Norway,Medium
3840.9,11/20/2003 0:00,Shipped,Classic Cars,Germany,Medium
3930.4,12/2/2003 0:00,Shipped,Classic Cars,Spain,Medium
7498.9,1/15/2004 0:00,Shipped,Classic Cars,France,Large
4517.91,2/22/2004 0:00,Shipped,Classic Cars,Switzerland,Medium
5774.72,4/9/2004 0:00,Shipped,Classic Cars,Denmark,Medium
3922.56,6/1/2004 0:00,Cancelled,Classic Cars,UK,Medium
9160.36,7/6/2004 0:00,Shipped,Classic Cars,Italy,Large
9631.0,8/2/2004 0:00,Shipped,Classic Cars,USA,Large
3432.24,8/30/2004 0:00,Shipped,Classic Cars,Switzerland,Medium
5521.89,10/4/2003 0:00,Shipped,Classic Cars,Germany,Medium
6934.62,10/16/2004 0:00,Shipped,Classic Cars,Germany,Medium
6876.11,11/3/2004 0:00,Shipped,Classic Cars,Sweden,Medium
2930.27,11/15/2004 0:00,Shipped,Classic Cars,USA,Small
3584.25,11/24/2004 0:00,Shipped,Classic Cars,Austria,Medium
2817.87,1/6/2005 0:00,Shipped,Classic Cars,Finland,Small
3420.0,2/3/2005 0:00,Shipped,Classic Cars,France,Medium
2575.04,3/3/2005 0:00,Shipped,Classic Cars,Sweden,Small
1961.28,5/17/2005 0:00,Shipped,Classic Cars,Austria,Small
8690.36,2/11/2003 0:00,Shipped,Classic Cars,Denmark,Large
6034.38,4/16/2003 0:00,Shipped,Classic Cars,Singapore,Medium
11279.2,6/3/2003 0:00,Shipped,Classic Cars,USA,Large
8023.29,8/8/2003 0:00,Shipped,Classic Cars,USA,Large
4904.0,9/28/2003 0:00,Shipped,Classic Cars,Spain,Medium
8594.52,10/22/2003 0:00,Shipped,Classic Cars,Singapore,Large
7474.5,11/6/2003 0:00,Shipped,Classic Cars,Italy,Large
3883.74,11/14/2003 0:00,Shipped,Classic Cars,USA,Medium
8887.7,11/26/2003 0:00,Shipped,Classic Cars,USA,Large
8602.92,1/2/2004 0:00,Shipped,Classic Cars,France,Large
7181.44,2/12/2004 0:00,Shipped,Classic Cars,Ireland,Large
8378.58,3/19/2004 0:00,Shipped,Classic Cars,Spain,Large
10606.2,5/5/2004 0:00,Shipped,Classic Cars,Finland,Large
5818.4,7/20/2004 0:00,Shipped,Classic Cars,USA,Medium
7071.27,8/20/2004 0:00,Shipped,Classic Cars,USA,Large
8411.56,9/9/2004 0:00,Shipped,Classic Cars,Italy,Large
6570.76,10/14/2004 0:00,Shipped,Classic Cars,UK,Medium
7975.44,10/22/2004 0:00,Shipped,Classic Cars,Denmark,Large
2688.0,11/5/2004 0:00,Shipped,Classic Cars,Norway,Small
1888.26,11/20/2004 0:00,Shipped,Classic Cars,France,Small
2513.28,11/1/2004 0:00,Shipped,Classic Cars,Spain,Small
4764.48,12/15/2004 0:00,Shipped,Classic Cars,France,Medium
3560.64,1/23/2005 0:00,Shipped,Classic Cars,USA,Medium
3823.64,2/17/2005 0:00,Shipped,Classic Cars,USA,Medium
2280.96,3/17/2005 0:00,Shipped,Classic Cars,France,Small
8677.8,5/5/2005 0:00,Shipped,Classic Cars,USA,Large
3394.98,1/29/2003 0:00,Shipped,Trucks and Buses,Norway,Medium
3415.44,3/26/2003 0:00,Shipped,Trucks and Buses,USA,Medium
2439.57,5/28/2003 0:00,Shipped,Trucks and Buses,Spain,Small
4829.8,7/24/2003 0:00,Shipped,Trucks and Buses,USA,Medium
4100.1,9/19/2003 0:00,Shipped,Trucks and Buses,Singapore,Medium
6563.06,10/21/2003 0:00,Resolved,Trucks and Buses,Austria,Medium
6817.22,11/6/2003 0:00,Shipped,Trucks and Buses,Australia,Medium
6163.94,11/13/2003 0:00,Shipped,Trucks and Buses,USA,Medium
4933.92,11/25/2003 0:00,Shipped,Trucks and Buses,France,Medium
4056.36,12/5/2003 0:00,Shipped,Trucks and Buses,Canada,Medium
5759.42,2/2/2004 0:00,Shipped,Trucks and Buses,France,Medium
3451.0,3/11/2004 0:00,Shipped,Trucks and Buses,USA,Medium
5920.4,5/4/2004 0:00,Shipped,Trucks and Buses,USA,Medium
6668.24,6/15/2004 0:00,Shipped,Trucks and Buses,Japan,Medium
4094.72,7/19/2004 0:00,Shipped,Trucks and Buses,Australia,Medium
2938.5,8/19/2004 0:00,Shipped,Trucks and Buses,USA,Small
6387.8,9/8/2004 0:00,Shipped,Trucks and Buses,Sweden,Medium
6396.0,10/11/2004 0:00,Shipped,Trucks and Buses,France,Medium
2669.1,10/22/2004 0:00,Shipped,Trucks and Buses,Canada,Small
4784.13,11/4/2004 0:00,Shipped,Trucks and Buses,USA,Medium
3273.93,11/18/2004 0:00,Shipped,Trucks and Buses,USA,Medium
3586.43,11/29/2004 0:00,Shipped,Trucks and Buses,Australia,Medium
5960.36,12/10/2004 0:00,Shipped,Trucks and Buses,USA,Medium
8470.14,1/20/2005 0:00,Shipped,Trucks and Buses,Australia,Large
2952.0,2/17/2005 0:00,Shipped,Trucks and Buses,USA,Small
2464.8,3/9/2005 0:00,Shipped,Trucks and Buses,Australia,Small
6232.0,5/1/2005 0:00,Shipped,Trucks and Buses,Canada,Medium
7969.36,5/31/2005 0:00,In Process,Trucks and Buses,Spain,Large
3036.6,2/24/2003 0:00,Shipped,Motorcycles,USA,Medium
8284.0,5/7/2003 0:00,Shipped,Motorcycles,France,Large
2711.2,7/1/2003 0:00,Shipped,Motorcycles,France,Small
8339.8,8/25/2003 0:00,Shipped,Motorcycles,USA,Large
6238.84,10/10/2003 0:00,Shipped,Motorcycles,USA,Medium
4639.25,11/4/2003 0:00,Shipped,Motorcycles,Australia,Medium
6747.6,11/11/2003 0:00,Shipped,Motorcycles,France,Medium
4512.48,11/18/2003 0:00,Shipped,Motorcycles,USA,Medium
4029.0,12/1/2003 0:00,Shipped,Motorcycles,USA,Medium
4771.8,1/15/2004 0:00,Shipped,Motorcycles,France,Medium
6087.94,2/21/2004 0:00,Shipped,Motorcycles,France,Medium
4193.28,4/5/2004 0:00,Shipped,Motorcycles,USA,Medium
7552.28,5/18/2004 0:00,Shipped,Motorcycles,USA,Large
6434.4,6/28/2004 0:00,Shipped,Motorcycles,USA,Medium
5181.5,8/2/2004 0:00,Shipped,Motorcycles,USA,Medium
6863.92,8/27/2004 0:00,Shipped,Motorcycles,USA,Medium
4157.04,9/30/2004 0:00,Shipped,Motorcycles,Finland,Medium
4660.24,10/15/2004 0:00,Shipped,Motorcycles,Norway,Medium
4111.8,11/3/2004 0:00,Shipped,Motorcycles,USA,Medium
3542.64,11/15/2004 0:00,Shipped,Motorcycles,USA,Medium
8118.55,11/24/2004 0:00,Shipped,Motorcycles,Austria,Large
3877.06,1/5/2005 0:00,Shipped,Motorcycles,USA,Medium
3867.08,2/3/2005 0:00,Shipped,Motorcycles,France,Medium
5951.44,3/3/2005 0:00,Shipped,Motorcycles,USA,Medium
8648.64,4/8/2005 0:00,Shipped,Motorcycles,UK,Large
3447.78,5/13/2005 0:00,Disputed,Motorcycles,Spain,Medium
5958.5,1/31/2003 0:00,Shipped,Classic Cars,Spain,Medium
5911.64,4/16/2003 0:00,Shipped,Classic Cars,Singapore,Medium
7366.44,6/3/2003 0:00,Shipped,Classic Cars,USA,Large
4985.64,8/8/2003 0:00,Shipped,Classic Cars,USA,Medium
5393.64,9/28/2003 0:00,Shipped,Classic Cars,Spain,Medium
4880.02,10/22/2003 0:00,Shipped,Classic Cars,Singapore,Medium
8378.69,11/6/2003 0:00,Shipped,Classic Cars,Italy,Large
4038.21,11/14/2003 0:00,Shipped,Classic Cars,USA,Medium
3807.12,11/26/2003 0:00,Shipped,Classic Cars,USA,Medium
3142.36,1/2/2004 0:00,Shipped,Classic Cars,France,Medium
4713.6,2/12/2004 0:00,Shipped,Classic Cars,Ireland,Medium
7016.31,3/15/2004 0:00,Shipped,Classic Cars,Germany,Large
4381.25,5/5/2004 0:00,Shipped,Classic Cars,Finland,Medium
4283.01,7/20/2004 0:00,Shipped,Classic Cars,USA,Medium
4364.82,8/20/2004 0:00,Shipped,Classic Cars,USA,Medium
4242.24,9/9/2004 0:00,Shipped,Classic Cars,Italy,Medium
4982.7,10/14/2004 0:00,Shipped,Classic Cars,UK,Medium
6393.54,10/22/2004 0:00,Shipped,Classic Cars,Denmark,Medium
1466.91,11/5/2004 0:00,Shipped,Classic Cars,USA,Small
4059.33,11/20/2004 0:00,Shipped,Classic Cars,France,Medium
4801.52,11/1/2004 0:00,Shipped,Classic Cars,Spain,Medium
2711.66,12/10/2004 0:00,Shipped,Classic Cars,Spain,Small
5862.0,1/26/2005 0:00,Shipped,Classic Cars,Japan,Medium
4071.85,2/17/2005 0:00,Shipped,Classic Cars,USA,Medium
8236.75,5/5/2005 0:00,Shipped,Classic Cars,USA,Large
6130.35,3/3/2003 0:00,Shipped,Classic Cars,Philippines,Medium
3693.34,5/8/2003 0:00,Shipped,Classic Cars,France,Medium
6031.68,7/2/2003 0:00,Shipped,Classic Cars,USA,Medium
3494.94,9/5/2003 0:00,Shipped,Classic Cars,USA,Medium
5294.14,10/11/2003 0:00,Shipped,Classic Cars,USA,Medium
5464.69,11/4/2003 0:00,Shipped,Classic Cars,Austria,Medium
2860.76,11/12/2003 0:00,Shipped,Classic Cars,Norway,Small
5590.0,11/20/2003 0:00,Shipped,Classic Cars,Germany,Medium
2254.8,12/2/2003 0:00,Shipped,Classic Cars,Spain,Small
4946.76,1/16/2004 0:00,Shipped,Classic Cars,Spain,Medium
2495.5,2/22/2004 0:00,Shipped,Classic Cars,Switzerland,Small
3167.38,4/9/2004 0:00,Shipped,Classic Cars,Denmark,Medium
2402.84,6/1/2004 0:00,Cancelled,Classic Cars,UK,Small
2454.54,7/6/2004 0:00,Shipped,Classic Cars,Italy,Small
5464.69,8/2/2004 0:00,Shipped,Classic Cars,USA,Medium
4756.5,8/30/2004 0:00,Shipped,Classic Cars,Switzerland,Medium
3984.6,10/4/2003 0:00,Shipped,Classic Cars,Germany,Medium
3100.32,10/16/2004 0:00,Shipped,Classic Cars,Germany,Medium
4850.3,11/3/2004 0:00,Shipped,Classic Cars,Sweden,Medium
3846.98,11/15/2004 0:00,Shipped,Classic Cars,USA,Medium
4220.92,11/24/2004 0:00,Shipped,Classic Cars,Austria,Medium
3288.82,1/6/2005 0:00,Shipped,Classic Cars,Finland,Medium
3987.2,2/8/2005 0:00,Shipped,Classic Cars,USA,Medium
1809.5,3/3/2005 0:00,Shipped,Classic Cars,Sweden,Small
1092.2,5/17/2005 0:00,Shipped,Classic Cars,Austria,Small
4566.05,2/11/2003 0:00,Shipped,Classic Cars,Denmark,Medium
5938.14,4/16/2003 0:00,Shipped,Classic Cars,Singapore,Medium
8138.76,6/3/2003 0:00,Shipped,Classic Cars,USA,Large
9470.94,8/8/2003 0:00,Shipped,Classic Cars,USA,Large
7036.89,9/28/2003 0:00,Shipped,Classic Cars,Spain,Large
5559.03,10/22/2003 0:00,Shipped,Classic Cars,Singapore,Medium
7872.5,11/6/2003 0:00,Shipped,Classic Cars,Italy,Large
7886.2,11/14/2003 0:00,Shipped,Classic Cars,USA,Large
7232.16,11/26/2003 0:00,Shipped,Classic Cars,USA,Large
3114.4,1/2/2004 0:00,Shipped,Classic Cars,France,Medium
5045.22,2/12/2004 0:00,Shipped,Classic Cars,Ireland,Medium
6952.12,3/19/2004 0:00,Shipped,Classic Cars,Spain,Medium
4157.73,5/5/2004 0:00,Shipped,Classic Cars,Finland,Medium
7962.24,7/20/2004 0:00,Shipped,Classic Cars,USA,Large
3778.8,8/20/2004 0:00,Shipped,Classic Cars,USA,Medium
8253.0,9/9/2004 0:00,Shipped,Classic Cars,Italy,Large
3633.4,10/14/2004 0:00,Shipped,Classic Cars,UK,Medium
6913.8,10/22/2004 0:00,Shipped,Classic Cars,Denmark,Medium
2583.6,11/5/2004 0:00,Shipped,Classic Cars,Norway,Small
3105.62,11/20/2004 0:00,Shipped,Classic Cars,France,Medium
4408.56,12/1/2004 0:00,Shipped,Classic Cars,USA,Medium
3042.41,12/15/2004 0:00,Shipped,Classic Cars,France,Medium
5941.5,1/26/2005 0:00,Shipped,Classic Cars,Japan,Medium
3241.9,2/17/2005 0:00,Shipped,Classic Cars,USA,Medium
6109.29,3/23/2005 0:00,Shipped,Classic Cars,USA,Medium
3387.78,5/5/2005 0:00,Shipped,Classic Cars,USA,Medium
3485.82,3/3/2003 0:00,Shipped,Classic Cars,Philippines,Medium
2042.88,5/8/2003 0:00,Shipped,Classic Cars,France,Small
1800.24,7/2/2003 0:00,Shipped,Classic Cars,USA,Small
1340.64,9/5/2003 0:00,Shipped,Classic Cars,USA,Small
1762.08,10/10/2003 0:00,Shipped,Classic Cars,USA,Small
2298.24,11/4/2003 0:00,Shipped,Classic Cars,Australia,Small
1628.0,11/12/2003 0:00,Shipped,Classic Cars,Norway,Small
1939.2,11/20/2003 0:00,Shipped,Classic Cars,Germany,Small
3651.56,12/2/2003 0:00,Shipped,Classic Cars,Spain,Medium
2591.96,1/15/2004 0:00,Shipped,Classic Cars,France,Small
2864.17,2/22/2004 0:00,Shipped,Classic Cars,Switzerland,Small
1484.2,4/9/2004 0:00,Shipped,Classic Cars,Denmark,Small
2254.25,6/1/2004 0:00,Cancelled,Classic Cars,UK,Small
2681.35,7/6/2004 0:00,Shipped,Classic Cars,Italy,Small
3184.02,8/2/2004 0:00,Shipped,Classic Cars,USA,Medium
2846.63,8/30/2004 0:00,Shipped,Classic Cars,Switzerland,Small
1685.42,10/4/2003 0:00,Shipped,Classic Cars,Germany,Small
3988.6,10/16/2004 0:00,Shipped,Classic Cars,Germany,Medium
2789.96,11/3/2004 0:00,Shipped,Classic Cars,Sweden,Small
3607.56,11/15/2004 0:00,Shipped,Classic Cars,USA,Medium
3368.16,11/24/2004 0:00,Shipped,Classic Cars,Austria,Medium
2775.08,1/6/2005 0:00,Shipped,Classic Cars,Finland,Small
1627.92,2/9/2005 0:00,Shipped,Classic Cars,Finland,Small
2529.36,3/3/2005 0:00,Shipped,Classic Cars,Sweden,Small
3065.78,5/17/2005 0:00,Shipped,Classic Cars,Austria,Medium
4615.78,1/31/2003 0:00,Shipped,Trucks and Buses,Spain,Medium
5723.78,4/4/2003 0:00,Shipped,Trucks and Buses,USA,Medium
2559.6,6/3/2003 0:00,Shipped,Trucks and Buses,USA,Small
2140.11,8/1/2003 0:00,Shipped,Trucks and Buses,Finland,Small
3327.6,9/21/2003 0:00,Shipped,Trucks and Buses,Finland,Medium
6825.6,10/22/2003 0:00,Shipped,Trucks and Buses,Singapore,Medium
3543.28,11/6/2003 0:00,Shipped,Trucks and Buses,UK,Medium
4516.22,11/14/2003 0:00,Shipped,Trucks and Buses,Spain,Medium
6445.46,11/25/2003 0:00,Shipped,Trucks and Buses,USA,Medium
3384.36,12/9/2003 0:00,Shipped,Trucks and Buses,USA,Medium
4891.68,2/10/2004 0:00,Shipped,Trucks and Buses,USA,Medium
4521.96,3/11/2004 0:00,Shipped,Trucks and Buses,USA,Medium
5069.66,5/5/2004 0:00,Shipped,Trucks and Buses,Spain,Medium
6541.2,6/15/2004 0:00,Shipped,Trucks and Buses,Singapore,Medium
3012.27,7/20/2004 0:00,Shipped,Trucks and Buses,USA,Medium
5247.18,8/19/2004 0:00,Shipped,Trucks and Buses,USA,Medium
2214.87,9/8/2004 0:00,Shipped,Trucks and Buses,USA,Small
4773.18,10/13/2004 0:00,Shipped,Trucks and Buses,USA,Medium
6185.7,10/22/2004 0:00,Shipped,Trucks and Buses,Denmark,Medium
1517.88,11/5/2004 0:00,Shipped,Trucks and Buses,USA,Small
6372.6,11/20/2004 0:00,Shipped,Trucks and Buses,France,Medium
5232.96,12/1/2004 0:00,Shipped,Trucks and Buses,USA,Medium
2694.72,12/10/2004 0:00,Shipped,Trucks and Buses,Spain,Small
1749.79,1/23/2005 0:00,Shipped,Trucks and Buses,USA,Small
2130.56,2/17/2005 0:00,Shipped,Trucks and Buses,USA,Small
5951.34,5/3/2005 0:00,Shipped,Trucks and Buses,Spain,Medium
